awardYear,category,adjustedPrizePerLaureate
1975,Peace,3404179
1975,Physics,1134726.333
1975,Physics,1134726.333
1975,Physics,1134726.333
1975,Physiology or Medicine,1134726.333
1975,Physiology or Medicine,1134726.333
1975,Physiology or Medicine,1134726.333
1976,Chemistry,3342605
1976,Economic Sciences,3342605
1976,Literature,3342605
1976,Peace,1671302.5
1976,Peace,1671302.5
1976,Physics,1671302.5
1976,Physics,1671302.5
1976,Physiology or Medicine,1671302.5
1976,Physiology or Medicine,1671302.5
1977,Chemistry,3080986
1977,Economic Sciences,1540493
1977,Economic Sciences,1540493
1977,Literature,3080986
1977,Peace,3080986
1977,Physics,1026995.333
1977,Physics,1026995.333
1977,Physics,1026995.333
1977,Physiology or Medicine,1026995.333
1977,Physiology or Medicine,1026995.333
1977,Physiology or Medicine,1026995.333
1978,Chemistry,2898454
1978,Economic Sciences,2898454
1978,Literature,2898454
1978,Peace,1449227
1978,Peace,1449227
1978,Physics,966151.3333
1978,Physics,966151.3333
1978,Physics,966151.3333
1978,Physiology or Medicine,966151.3333
1978,Physiology or Medicine,966151.3333
1978,Physiology or Medicine,966151.3333
1979,Chemistry,1494024
1979,Chemistry,1494024
1979,Economic Sciences,1494024
1979,Economic Sciences,1494024
1979,Literature,2988048
1979,Peace,2988048
1979,Physics,996016
1979,Physics,996016
1979,Physics,996016
1979,Physiology or Medicine,1494024
1979,Physiology or Medicine,1494024
1980,Chemistry,963222.3333
1980,Chemistry,963222.3333
1980,Chemistry,963222.3333
1980,Economic Sciences,2889667
1980,Literature,2889667
1980,Peace,2889667
1980,Physics,1444833.5
1980,Physics,1444833.5
1980,Physiology or Medicine,963222.3333
1980,Physiology or Medicine,963222.3333
1980,Physiology or Medicine,963222.3333
1981,Chemistry,1464844
1981,Chemistry,1464844
1981,Economic Sciences,2929688
1981,Literature,2929688
1981,Peace,2929688
1981,Physics,976562.6667
1981,Physics,976562.6667
1981,Physics,976562.6667
1981,Physiology or Medicine,976562.6667
1981,Physiology or Medicine,976562.6667
1981,Physiology or Medicine,976562.6667
1982,Chemistry,3102518
1982,Economic Sciences,3102518
1982,Literature,3102518
1982,Peace,1551259
1982,Peace,1551259
1982,Physics,3102518
1982,Physiology or Medicine,1034172.667
1982,Physiology or Medicine,1034172.667
1982,Physiology or Medicine,1034172.667
1983,Chemistry,3715324
1983,Economic Sciences,3715324
1983,Literature,3715324
1983,Peace,3715324
1983,Physics,1857662
1983,Physics,1857662
1983,Physiology or Medicine,3715324
1984,Chemistry,3782090
1984,Economic Sciences,3782090
1984,Literature,3782090
1984,Peace,3782090
1984,Physics,1891045
1984,Physics,1891045
1984,Physiology or Medicine,1260696.667
1984,Physiology or Medicine,1260696.667
1984,Physiology or Medicine,1260696.667
1985,Chemistry,1921982
1985,Chemistry,1921982
1985,Economic Sciences,3843964
1985,Literature,3843964
1985,Peace,3843964
1985,Physics,3843964
1985,Physiology or Medicine,1921982
1985,Physiology or Medicine,1921982
1986,Chemistry,1366120.333
1986,Chemistry,1366120.333
1986,Chemistry,1366120.333
1986,Economic Sciences,4098361
1986,Literature,4098361
1986,Peace,4098361
1986,Physics,1366120.333
1986,Physics,1366120.333
1986,Physics,1366120.333
1986,Physiology or Medicine,2049180.5
1986,Physiology or Medicine,2049180.5
1987,Chemistry,1424921.333
1987,Chemistry,1424921.333
1987,Chemistry,1424921.333
1987,Economic Sciences,4274764
1987,Literature,4274764
1987,Peace,4274764
1987,Physics,2137382
1987,Physics,2137382
1987,Physiology or Medicine,4274764
1988,Chemistry,1548563
1988,Chemistry,1548563
1988,Chemistry,1548563
1988,Economic Sciences,4645689
1988,Literature,4645689
1988,Peace,4645689
1988,Physics,1548563
1988,Physics,1548563
1988,Physics,1548563
1988,Physiology or Medicine,1548563
1988,Physiology or Medicine,1548563
1988,Physiology or Medicine,1548563
1989,Chemistry,2621155.5
1989,Chemistry,2621155.5
1989,Economic Sciences,5242311
1989,Literature,5242311
1989,Peace,5242311
1989,Physics,1747437
1989,Physics,1747437
1989,Physics,1747437
1989,Physiology or Medicine,2621155.5
1989,Physiology or Medicine,2621155.5
1990,Chemistry,6329114
1990,Economic Sciences,2109704.667
1990,Economic Sciences,2109704.667
1990,Economic Sciences,2109704.667
1990,Literature,6329114
1990,Peace,6329114
1990,Physics,2109704.667
1990,Physics,2109704.667
1990,Physics,2109704.667
1990,Physiology or Medicine,3164557
1990,Physiology or Medicine,3164557
1991,Chemistry,8673863
1991,Economic Sciences,8673863
1991,Literature,8673863
1991,Peace,8673863
1991,Physics,8673863
1991,Physiology or Medicine,4336931.5
1991,Physiology or Medicine,4336931.5
1992,Chemistry,9184250
1992,Economic Sciences,9184250
1992,Literature,9184250
1992,Peace,9184250
