firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize,full name
Wladyslaw,Reymont,PL,PL,male,1924,literature,1,,,,May,58,57,Wladyslaw Reymont
George Bernard,Shaw,IE,GB,male,1925,literature,1,,,,Jul,94,69,George Bernard Shaw
Grazia,Deledda,IT,IT,female,1926,literature,1,,,,Sep,65,55,Grazia Deledda
Henri,Bergson,FR,FR,male,1927,literature,1,,,,Oct,82,68,Henri Bergson
Sigrid,Undset,DK,NO,female,1928,literature,1,,,,May,67,46,Sigrid Undset
Thomas,Mann,DE,CH,male,1929,literature,1,,,,Jun,80,54,Thomas Mann
Sinclair,Lewis,US,IT,male,1930,literature,1,,,,Feb,66,45,Sinclair Lewis
Erik Axel,Karlfeldt,SE,SE,male,1931,literature,1,,,,Jul,67,67,Erik Axel Karlfeldt
John,Galsworthy,GB,GB,male,1932,literature,1,,,,Aug,66,65,John Galsworthy
Ivan,Bunin,RU,FR,male,1933,literature,1,,,,Oct,83,63,Ivan Bunin
Luigi,Pirandello,IT,IT,male,1934,literature,1,,,,Jun,69,67,Luigi Pirandello
Eugene,O'Neill,US,US,male,1936,literature,1,,,,Oct,65,48,Eugene O'Neill
Roger,Martin du Gard,FR,FR,male,1937,literature,1,,,,Mar,77,56,Roger Martin du Gard
Pearl,Buck,US,US,female,1938,literature,1,,,,Jun,81,46,Pearl Buck
Frans Eemil,Sillanpää,FI,FI,male,1939,literature,1,,,,Sep,76,51,Frans Eemil Sillanpää
Johannes V.,Jensen,DK,DK,male,1944,literature,1,,,,Jan,77,71,Johannes V. Jensen
Gabriela,Mistral,CL,US,female,1945,literature,1,,,,Apr,68,56,Gabriela Mistral
Hermann,Hesse,DE,CH,male,1946,literature,1,,,,Jul,85,69,Hermann Hesse
André,Gide,FR,FR,male,1947,literature,1,,,,Nov,82,78,André Gide
T.S.,Eliot,US,GB,male,1948,literature,1,,,,Sep,77,60,T.S. Eliot
William,Faulkner,US,US,male,1949,literature,1,,,,Sep,65,52,William Faulkner
Bertrand,Russell,GB,GB,male,1950,literature,1,,,,May,98,78,Bertrand Russell
Pär,Lagerkvist,SE,SE,male,1951,literature,1,,,,May,83,60,Pär Lagerkvist
François,Mauriac,FR,FR,male,1952,literature,1,,,,Oct,85,67,François Mauriac
Winston,Churchill,GB,GB,male,1953,literature,1,,,,Nov,91,79,Winston Churchill
Ernest,Hemingway,US,US,male,1954,literature,1,,,,Jul,62,55,Ernest Hemingway
Halldór,Laxness,IS,IS,male,1955,literature,1,,,,Apr,96,53,Halldór Laxness
Juan Ramón,Jiménez,ES,PR,male,1956,literature,1,,,,Dec,77,75,Juan Ramón Jiménez
Albert,Camus,DZ,FR,male,1957,literature,1,,,,Nov,47,44,Albert Camus
Boris,Pasternak,RU,RU,male,1958,literature,1,,,,Feb,70,68,Boris Pasternak
Salvatore,Quasimodo,IT,IT,male,1959,literature,1,,,,Aug,67,58,Salvatore Quasimodo
Saint-John,Perse,GP,FR,male,1960,literature,1,,,,May,88,73,Saint-John Perse
Ivo,Andric,BA,RS,male,1961,literature,1,,,,Oct,83,69,Ivo Andric
John,Steinbeck,US,US,male,1962,literature,1,,,,Feb,66,60,John Steinbeck
Giorgos,Seferis,TR,GR,male,1963,literature,1,,,,Mar,71,63,Giorgos Seferis
Jean-Paul,Sartre,FR,FR,male,1964,literature,1,,,,Jun,75,59,Jean-Paul Sartre
Mikhail,Sholokhov,RU,RU,male,1965,literature,1,,,,May,79,60,Mikhail Sholokhov
Shmuel,Agnon,UA,IL,male,1966,literature,2,,,,Jul,82,78,Shmuel Agnon
Nelly,Sachs,DE,SE,female,1966,literature,2,,,,Dec,79,75,Nelly Sachs
Miguel Angel,Asturias,GT,ES,male,1967,literature,1,,,,Oct,75,68,Miguel Angel Asturias
Yasunari,Kawabata,JP,JP,male,1968,literature,1,,,,Jun,73,69,Yasunari Kawabata
Samuel,Beckett,IE,FR,male,1969,literature,1,,,,Apr,83,63,Samuel Beckett
Alexandr,Solzhenitsyn,RU,RU,male,1970,literature,1,,,,Dec,90,52,Alexandr Solzhenitsyn
Pablo,Neruda,CL,CL,male,1971,literature,1,,,,Jul,69,67,Pablo Neruda
Heinrich,Böll,DE,DE,male,1972,literature,1,,,,Dec,68,55,Heinrich Böll
Patrick,White,GB,AU,male,1973,literature,1,,,,May,78,61,Patrick White
Eyvind,Johnson,SE,SE,male,1974,literature,2,,,,Jul,76,74,Eyvind Johnson
Harry,Martinson,SE,SE,male,1974,literature,2,,,,May,74,70,Harry Martinson
Eugenio,Montale,IT,IT,male,1975,literature,1,,,,Oct,85,79,Eugenio Montale
Saul,Bellow,CA,US,male,1976,literature,1,,,,Jun,90,61,Saul Bellow
Vicente,Aleixandre,ES,ES,male,1977,literature,1,,,,Apr,86,79,Vicente Aleixandre
Isaac Bashevis,Singer,PL,US,male,1978,literature,1,,,,Jul,87,74,Isaac Bashevis Singer
Odysseus,Elytis,GR,GR,male,1979,literature,1,,,,Nov,85,68,Odysseus Elytis
Czeslaw,Milosz,LT,PL,male,1980,literature,1,,,,Jun,93,69,Czeslaw Milosz
Elias,Canetti,BG,CH,male,1981,literature,1,,,,Jul,89,76,Elias Canetti
Gabriel,García Márquez,CO,MX,male,1982,literature,1,,,,Mar,87,55,Gabriel García Márquez
William,Golding,GB,GB,male,1983,literature,1,,,,Sep,82,72,William Golding
Jaroslav,Seifert,CZ,CZ,male,1984,literature,1,,,,Sep,85,83,Jaroslav Seifert
Claude,Simon,MG,FR,male,1985,literature,1,,,,Oct,92,72,Claude Simon
Wole,Soyinka,NG,,male,1986,literature,1,,,,Jul,86,52,Wole Soyinka
Joseph,Brodsky,RU,US,male,1987,literature,1,,,,May,56,47,Joseph Brodsky
Naguib,Mahfouz,EG,EG,male,1988,literature,1,,,,Dec,95,77,Naguib Mahfouz
Camilo José,Cela,ES,ES,male,1989,literature,1,,,,May,86,73,Camilo José Cela
Octavio,Paz,MX,MX,male,1990,literature,1,,,,Mar,84,76,Octavio Paz
Nadine,Gordimer,ZA,ZA,female,1991,literature,1,,,,Nov,91,68,Nadine Gordimer
Derek,Walcott,LC,LC,male,1992,literature,1,,,,Jan,87,62,Derek Walcott
Toni,Morrison,US,US,female,1993,literature,1,,,,Feb,88,62,Toni Morrison
Kenzaburo,Oe,JP,,male,1994,literature,1,,,,Jan,85,59,Kenzaburo Oe
Seamus,Heaney,GB,IE,male,1995,literature,1,,,,Apr,74,56,Seamus Heaney
Wislawa,Szymborska,PL,PL,female,1996,literature,1,,,,Jul,89,73,Wislawa Szymborska
Dario,Fo,IT,IT,male,1997,literature,1,,,,Mar,90,71,Dario Fo
José,Saramago,PT,ES,male,1998,literature,1,,,,Nov,88,76,José Saramago
Günter,Grass,PL,DE,male,1999,literature,1,,,,Oct,88,72,Günter Grass
Ragnar,Frisch,NO,NO,male,1969,economics,2,University of Oslo,Oslo,Norway,Mar,78,74,Ragnar Frisch
Jan,Tinbergen,NL,NL,male,1969,economics,2,The Netherlands School of Economics,Rotterdam,the Netherlands,Apr,91,66,Jan Tinbergen
Paul A.,Samuelson,US,US,male,1970,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,May,94,55,Paul A. Samuelson
Simon,Kuznets,BY,US,male,1971,economics,1,Harvard University,Cambridge MA,USA,Apr,84,70,Simon Kuznets
John R.,Hicks,GB,GB,male,1972,economics,2,All Souls College,Oxford,United Kingdom,Apr,85,68,John R. Hicks
Kenneth J.,Arrow,US,US,male,1972,economics,2,Harvard University,Cambridge MA,USA,Aug,96,51,Kenneth J. Arrow
Wassily,Leontief,RU,US,male,1973,economics,1,Harvard University,Cambridge MA,USA,Aug,93,67,Wassily Leontief
Gunnar,Myrdal,SE,SE,male,1974,economics,2,,,,Dec,89,76,Gunnar Myrdal
Friedrich,von Hayek,AT,DE,male,1974,economics,2,,,,May,93,75,Friedrich von Hayek
Leonid Vitaliyevich,Kantorovich,RU,RU,male,1975,economics,2,Academy of Sciences,Moscow,USSR (now Russia),Jan,74,63,Leonid Vitaliyevich Kantorovich
Tjalling C.,Koopmans,NL,US,male,1975,economics,2,Yale University,New Haven CT,USA,Aug,75,65,Tjalling C. Koopmans
Milton,Friedman,US,US,male,1976,economics,1,University of Chicago,Chicago IL,USA,Jul,94,64,Milton Friedman
Bertil,Ohlin,SE,SE,male,1977,economics,2,Stockholm School of Economics,Stockholm,Sweden,Apr,80,78,Bertil Ohlin
James E.,Meade,GB,GB,male,1977,economics,2,University of Cambridge,Cambridge,United Kingdom,Jun,88,70,James E. Meade
Herbert,Simon,US,US,male,1978,economics,1,Carnegie Mellon University,Pittsburgh PA,USA,Jun,85,62,Herbert Simon
Theodore W.,Schultz,US,US,male,1979,economics,2,University of Chicago,Chicago IL,USA,Apr,96,77,Theodore W. Schultz
Sir Arthur,Lewis,LC,BB,male,1979,economics,2,Princeton University,Princeton NJ,USA,Jan,76,64,Sir Arthur Lewis
Lawrence R.,Klein,US,US,male,1980,economics,1,University of Pennsylvania,Philadelphia PA,USA,Sep,93,60,Lawrence R. Klein
James,Tobin,US,US,male,1981,economics,1,Yale University,New Haven CT,USA,Mar,84,63,James Tobin
George J.,Stigler,US,US,male,1982,economics,1,University of Chicago,Chicago IL,USA,Jan,80,71,George J. Stigler
Gerard,Debreu,FR,FR,male,1983,economics,1,University of California,Berkeley CA,USA,Jul,83,62,Gerard Debreu
Richard,Stone,GB,GB,male,1984,economics,1,University of Cambridge,Cambridge,United Kingdom,Aug,78,71,Richard Stone
Franco,Modigliani,IT,US,male,1985,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jun,85,67,Franco Modigliani
James M.,Buchanan Jr.,US,US,male,1986,economics,1,Center for Study of Public Choice,Fairfax VA,USA,Oct,94,67,James M. Buchanan Jr.
Robert M.,Solow,US,,male,1987,economics,1,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Aug,96,63,Robert M. Solow
Maurice,Allais,FR,FR,male,1988,economics,1,École Nationale Supérieur des Mines de Paris,Paris,France,May,99,77,Maurice Allais
Trygve,Haavelmo,NO,NO,male,1989,economics,1,University of Oslo,Oslo,Norway,Dec,88,78,Trygve Haavelmo
